rank_data,instance_id,axis,qerr_data,plan_change_data,x1_data,x2_data,source_root_data,source_label_data,rank_selectivity,qerr_selectivity,plan_change_selectivity,x1_selectivity,x2_selectivity,source_root_selectivity,source_label_selectivity,qerr_delta,qerr_ratio,prefer,absolute_improvement,relative_improvement,plan_change_agreement
43,24,1,1.254717,False,2667.760000,47144.777778,gt_results_sf1_qt8_10x10_m0,data-space sampling,19,1.272130,False,2890.214500,33132.840000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.017413,0.986312,data-space sampling,0.017413,0.013878,True
44,13,1,1.254585,False,1445.766667,35583.833333,gt_results_sf1_qt8_10x10_m0,data-space sampling,69,1.140328,False,1770.717500,25930.880000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.114258,1.100197,selectivity-space sampling,0.114258,0.100197,True
45,19,1,1.244740,False,1445.766667,104949.500000,gt_results_sf1_qt8_10x10_m0,data-space sampling,4,1.382960,False,1770.717500,79511.310000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.138220,0.900055,data-space sampling,0.138220,0.111044,True
46,26,1,1.241141,False,2667.760000,70266.666667,gt_results_sf1_qt8_10x10_m0,data-space sampling,21,1.255525,False,2890.214500,47521.750000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.014383,0.988544,data-space sampling,0.014383,0.011589,True
47,127,2,1.229703,False,3889.753333,24022.888889,gt_results_sf1_qt8_10x10_m0,data-space sampling,29,1.226659,False,3963.788000,18739.100000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.003045,1.002482,selectivity-space sampling,0.003045,0.002482,True
48,174,2,1.223765,False,9999.720000,47144.777778,gt_results_sf1_qt8_10x10_m0,data-space sampling,14,1.295936,True,9449.346500,33132.840000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.072172,0.944309,data-space sampling,0.072172,0.058975,False
49,137,2,1.219898,False,5111.746667,35583.833333,gt_results_sf1_qt8_10x10_m0,data-space sampling,24,1.250041,False,5091.417000,25930.880000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.030144,0.975886,data-space sampling,0.030144,0.024710,True
50,46,1,1.215858,True,5111.746667,70266.666667,gt_results_sf1_qt8_10x10_m0,data-space sampling,25,1.249155,True,5091.417000,47521.750000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,-0.033297,0.973344,data-space sampling,0.033297,0.027386,True
51,35,1,1.213224,False,3889.753333,58705.722222,gt_results_sf1_qt8_10x10_m0,data-space sampling,75,1.130141,False,3963.788000,40321.260000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.083083,1.073516,selectivity-space sampling,0.083083,0.073516,True
52,28,1,1.206183,False,2667.760000,93388.555556,gt_results_sf1_qt8_10x10_m0,data-space sampling,41,1.192264,False,2890.214500,64719.730000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.013919,1.011674,selectivity-space sampling,0.013919,0.011674,True
53,11,1,1.205768,False,1445.766667,12461.944444,gt_results_sf1_qt8_10x10_m0,data-space sampling,129,1.061248,False,1770.717500,11531.250000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.144520,1.136179,selectivity-space sampling,0.144520,0.136179,True
54,14,1,1.203599,False,1445.766667,47144.777778,gt_results_sf1_qt8_10x10_m0,data-space sampling,67,1.142177,False,1770.717500,33132.840000,gt_results_sf1_qt8_10x10_m1,selectivity-space sampling,0.061422,1.053777,selectivity-space sampling,0.061422,0.053777,True
